Hostname,Event_Type,Target_Group,Account_ID,Timestamp
EMAIL-97.QUINN.NET,A member was added to a security-enabled local group,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\thompsonchristopher,2026-08-08 22:18:07
DB-89.DAVIS-NELSON.COM,User account locked out,Administrators,CORP\zguzman,2026-08-18 08:07:11
WEB-53.POWELL.ORG,Logon failure,Marketing_Share,GUEST\francisco47,2026-08-19 19:00:57
WEB-17.SINGLETON.COM,User account locked out,Domain Admins,GUEST\patrickberry,2026-08-30 11:37:07
SRV-17.PATEL.COM,User account locked out,Domain Admins,DEV\linda47,2026-08-16 07:51:36
EMAIL-38.BENTLEY.INFO,A member was removed from a security-enabled local group,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\SVC_gloria81,2026-08-01 15:13:35
DESKTOP-76.DAVIDSON.COM,Logon failure,IT_Helpdesk,GUEST\wattsscott,2026-08-27 16:24:23
SRV-01.LEWIS.COM,User account locked out,Remote Desktop Users,CORP\sullivantravis,2026-08-07 10:49:36
DB-84.CARROLL.NET,A member was added to a security-enabled global group,All_Staff_Read_Only,GUEST\edward60,2026-08-20 20:43:56
SRV-45.GONZALEZ.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\SVC_samantha56,2026-08-03 07:45:32
LAPTOP-83.DOUGLAS.COM,Logon failure,Administrators,CORP\SVC_matthewwatkins,2026-08-07 10:01:48
LT-08.CONLEY-CARSON.ORG,A member was removed from a security-enabled local group,All_Staff_Read_Only,GUEST\SVC_toddpeters,2026-08-23 00:25:41
SRV-55.WELCH.COM,A member was added to a security-enabled local group,Marketing_Share,DEV\nwalters,2026-08-21 11:04:27
WEB-51.SHAH.COM,A member was removed from a security-enabled local group,IT_Helpdesk,CORP\kaylee77,2026-08-18 11:52:15
LT-53.LEWIS-FOLEY.COM,A member was removed from a security-enabled local group,All_Staff_Read_Only,DEV\richard88,2026-08-12 05:00:38
LAPTOP-95.OLSEN-SMITH.COM,A member was added to a security-enabled local group,Administrators,DEV\heathergonzalez,2026-08-12 03:13:47
EMAIL-18.WILLIAMS-THOMPSON.COM,A member was added to a security-enabled global group,IT_Helpdesk,GUEST\aromero,2026-08-20 03:51:07
LAPTOP-09.REED.COM,A member was removed from a security-enabled local group,IT_Helpdesk,CORP\jonesjonathan,2026-08-10 18:32:51
DB-40.CHAVEZ.COM,A member was added to a security-enabled global group,Administrators,OLD_DOMAIN.LEGACY.COM\adam86,2026-08-20 01:26:56
SRV-42.THOMAS.COM,User account locked out,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\SVC_lisa55,2026-08-21 12:30:06
EMAIL-62.BRADLEY-CRAIG.COM,A member was removed from a security-enabled local group,Domain Admins,DEV\SVC_uhunter,2026-08-20 13:15:36
DESKTOP-59.GORDON.COM,A member was removed from a security-enabled local group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\andreamclean,2026-08-09 15:53:44
WEB-02.FRAZIER-GRAY.INFO,A member was added to a security-enabled global group,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\mark03,2026-08-23 13:51:27
DB-08.GLASS.COM,User account locked out,IT_Helpdesk,CORP\bmontgomery,2026-08-03 02:11:33
EMAIL-40.WHITE-WEAVER.NET,A member was removed from a security-enabled local group,IT_Helpdesk,CORP\andrearodriguez,2026-08-28 00:30:08
LAPTOP-13.JOHNSON.COM,Logon failure,IT_Helpdesk,DEV\SVC_fisherstuart,2026-08-06 18:57:08
WEB-00.DOUGLAS-NGUYEN.BIZ,Logon failure,Marketing_Share,DEV\kjohnson,2026-08-22 19:03:42
DESKTOP-03.WILSON-GUERRA.COM,A member was added to a security-enabled local group,Marketing_Share,CORP\barrydaniel,2026-08-09 02:06:07
DB-47.CAMACHO.INFO,A member was added to a security-enabled global group,IT_Helpdesk,DEV\chaseadams,2026-08-26 14:56:18
SRV-26.RAMOS-GOMEZ.COM,User account locked out,Domain Admins,OLD_DOMAIN.LEGACY.COM\tonya98,2026-08-16 13:13:44
WEB-26.MENDOZA.COM,Logon failure,Remote Desktop Users,CORP\rodriguezveronica,2026-08-30 20:14:09
WEB-18.ROBLES.COM,A member was added to a security-enabled global group,Remote Desktop Users,GUEST\johnshaw,2026-08-10 08:08:46
LT-06.CHUNG-JONES.INFO,User account locked out,Marketing_Share,CORP\melissa03,2026-08-18 15:38:31
LAPTOP-94.COOPER-WILLIAMS.COM,A member was added to a security-enabled global group,IT_Helpdesk,CORP\SVC_stacy19,2026-08-12 07:02:44
LAPTOP-94.JOHNSON.COM,A member was added to a security-enabled global group,Domain Admins,CORP\richardherrera,2026-08-05 08:08:37
LAPTOP-87.RICHARDSON.COM,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\lowebrandon,2026-08-11 10:55:28
EMAIL-53.FISHER.COM,A member was added to a security-enabled global group,Marketing_Share,CORP\connorwilliams,2026-08-30 18:37:12
DESKTOP-17.LUNA-BRIGGS.COM,Logon failure,IT_Helpdesk,CORP\SVC_evansmark,2026-08-23 22:28:43
EMAIL-72.NOVAK.COM,User account locked out,IT_Helpdesk,GUEST\terrispencer,2026-08-29 20:17:14
